"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"01-Nov-2023","28-Dec-2023","XX","-","5,414.00","5,500.00","5,395.45","5,399.55","5,399.75","5,399.55","20,250","11,00,08,118.75","11,00,08,118.75","35,375","8,000"
"31-Oct-2023","28-Dec-2023","XX","-","5,380.70","5,395.90","5,344.95","5,369.65","5,373.25","5,369.65","10,875","5,84,38,200.00","5,84,38,200.00","27,375","500"
"30-Oct-2023","28-Dec-2023","XX","-","5,449.00","5,449.00","5,330.00","5,370.15","5,380.70","5,370.15","22,000","11,81,35,662.50","11,81,35,662.50","26,875","-1,125"
"27-Oct-2023","28-Dec-2023","XX","-","5,350.00","5,469.00","5,350.00","5,436.10","5,441.70","5,436.10","21,125","11,45,26,281.25","11,45,26,281.25","28,000","10,750"
"26-Oct-2023","28-Dec-2023","XX","-","5,384.00","5,384.00","5,318.80","5,328.30","5,334.30","5,328.30","19,500","10,46,21,775.00","10,46,21,775.00","17,250","-3,500"
"25-Oct-2023","28-Dec-2023","XX","-","5,470.00","5,470.00","5,407.15","5,414.05","5,407.15","5,414.05","14,750","8,01,91,950.00","8,01,91,950.00","20,750","3,750"
"23-Oct-2023","28-Dec-2023","XX","-","5,516.00","5,516.00","5,470.00","5,472.55","5,470.00","5,472.55","7,750","4,25,20,525.00","4,25,20,525.00","17,000","-2,000"
"20-Oct-2023","28-Dec-2023","XX","-","5,543.30","5,558.50","5,513.00","5,543.90","5,545.30","5,543.90","8,750","4,84,61,650.00","4,84,61,650.00","19,000","4,750"
"19-Oct-2023","28-Dec-2023","XX","-","5,300.20","5,543.05","5,300.20","5,533.05","5,528.00","5,533.05","15,750","8,59,30,162.50","8,59,30,162.50","14,250","10,750"
"18-Oct-2023","28-Dec-2023","XX","-","5,210.00","5,249.00","5,205.30","5,205.50","5,205.65","5,205.50","2,000","1,04,51,350.00","1,04,51,350.00","3,500","1,000"
"17-Oct-2023","28-Dec-2023","XX","-","5,164.00","5,205.00","5,164.00","5,205.00","5,205.00","5,210.10","1,500","77,88,400.00","77,88,400.00","2,500","-250"
"16-Oct-2023","28-Dec-2023","XX","-","5,143.05","5,143.05","5,143.05","5,143.05","5,143.05","5,145.70","250","12,85,762.50","12,85,762.50","2,750","-250"
"13-Oct-2023","28-Dec-2023","XX","-","5,180.00","5,180.00","5,125.00","5,125.00","5,125.00","5,125.00","1,750","90,01,875.00","90,01,875.00","3,000","250"
"12-Oct-2023","28-Dec-2023","XX","-","5,164.00","5,197.20","5,164.00","5,189.65","5,189.65","5,189.65","1,250","64,81,725.00","64,81,725.00","2,750","250"
"11-Oct-2023","28-Dec-2023","XX","-","5,144.00","5,160.00","5,140.00","5,140.00","5,140.00","5,138.00","750","38,61,000.00","38,61,000.00","2,500","500"
"10-Oct-2023","28-Dec-2023","XX","-","5,104.00","5,120.00","5,104.00","5,110.00","5,110.00","5,111.65","750","38,33,500.00","38,33,500.00","2,000","250"
"09-Oct-2023","28-Dec-2023","XX","-","5,080.00","5,104.00","5,072.45","5,072.45","5,072.45","5,072.45","1,000","50,84,112.50","50,84,112.50","1,750","500"
"06-Oct-2023","28-Dec-2023","XX","-","5,088.80","5,088.80","5,088.75","5,088.75","5,088.75","5,092.20","1,000","50,88,775.00","50,88,775.00","1,250","1,000"
"05-Oct-2023","28-Dec-2023","XX","-","-","-","-","5,102.00","5,102.00","5,089.45","-","-","-","250","-"
"04-Oct-2023","28-Dec-2023","XX","-","-","-","-","5,102.00","5,102.00","4,996.30","-","-","-","250","-"
"03-Oct-2023","28-Dec-2023","XX","-","5,102.00","5,102.00","5,102.00","5,102.00","5,102.00","5,102.00","250","12,75,500.00","12,75,500.00","250","-"
"29-Sep-2023","28-Dec-2023","XX","-","5,124.00","5,124.00","5,124.00","5,124.00","5,124.00","5,124.00","250","12,81,000.00","12,81,000.00","250","250"
