"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"01-Nov-2023","28-Dec-2023","XX","-","1,450.05","1,455.00","1,438.95","1,442.25","1,444.95","1,442.25","3,46,000","50,05,67,225.00","50,05,67,225.00","12,52,500","93,000"
"31-Oct-2023","28-Dec-2023","XX","-","1,468.00","1,472.85","1,446.80","1,450.15","1,448.00","1,450.15","9,78,500","1,42,60,56,625.00","1,42,60,56,625.00","11,59,500","5,76,500"
"30-Oct-2023","28-Dec-2023","XX","-","1,449.00","1,476.30","1,439.25","1,469.55","1,472.60","1,469.55","5,59,000","81,98,11,325.00","81,98,11,325.00","5,83,000","3,39,000"
"27-Oct-2023","28-Dec-2023","XX","-","1,426.60","1,454.95","1,426.60","1,451.65","1,452.40","1,451.65","2,03,500","29,31,08,600.00","29,31,08,600.00","2,44,000","97,500"
"26-Oct-2023","28-Dec-2023","XX","-","1,437.85","1,438.00","1,410.70","1,426.45","1,427.95","1,426.45","1,07,000","15,22,32,425.00","15,22,32,425.00","1,46,500","29,000"
"25-Oct-2023","28-Dec-2023","XX","-","1,450.00","1,455.90","1,426.00","1,429.05","1,428.85","1,429.05","42,500","6,11,90,075.00","6,11,90,075.00","1,17,500","13,000"
"23-Oct-2023","28-Dec-2023","XX","-","1,478.00","1,480.00","1,440.00","1,445.30","1,442.20","1,445.30","38,500","5,63,92,550.00","5,63,92,550.00","1,04,500","-7,500"
"20-Oct-2023","28-Dec-2023","XX","-","1,475.30","1,483.00","1,470.25","1,481.95","1,481.60","1,481.95","22,500","3,32,63,525.00","3,32,63,525.00","1,12,000","7,500"
"19-Oct-2023","28-Dec-2023","XX","-","1,466.35","1,483.00","1,443.15","1,468.35","1,464.80","1,468.35","77,500","11,37,11,775.00","11,37,11,775.00","1,04,500","38,500"
"18-Oct-2023","28-Dec-2023","XX","-","1,451.05","1,462.00","1,437.55","1,441.65","1,443.00","1,441.65","37,000","5,36,87,500.00","5,36,87,500.00","66,000","14,000"
"17-Oct-2023","28-Dec-2023","XX","-","1,473.65","1,477.30","1,448.25","1,456.10","1,456.00","1,456.10","19,000","2,77,91,025.00","2,77,91,025.00","52,000","7,000"
"16-Oct-2023","28-Dec-2023","XX","-","1,470.45","1,473.85","1,466.00","1,466.55","1,467.05","1,466.55","25,500","3,74,71,725.00","3,74,71,725.00","45,000","-"
"13-Oct-2023","28-Dec-2023","XX","-","1,450.00","1,486.45","1,450.00","1,484.05","1,479.90","1,484.05","30,500","4,50,73,575.00","4,50,73,575.00","45,000","10,500"
"12-Oct-2023","28-Dec-2023","XX","-","1,460.00","1,462.80","1,449.95","1,449.95","1,449.95","1,449.95","6,000","87,45,800.00","87,45,800.00","34,500","-"
"11-Oct-2023","28-Dec-2023","XX","-","1,449.50","1,450.35","1,437.90","1,443.35","1,444.00","1,443.35","12,000","1,73,16,550.00","1,73,16,550.00","34,500","6,000"
"10-Oct-2023","28-Dec-2023","XX","-","1,450.85","1,454.35","1,436.20","1,444.10","1,444.10","1,444.10","12,500","1,80,37,925.00","1,80,37,925.00","28,500","6,000"
"09-Oct-2023","28-Dec-2023","XX","-","1,438.30","1,462.90","1,438.30","1,449.80","1,449.80","1,449.80","8,500","1,23,22,825.00","1,23,22,825.00","22,500","-"
"06-Oct-2023","28-Dec-2023","XX","-","1,432.00","1,457.60","1,432.00","1,455.45","1,457.10","1,455.45","16,000","2,31,78,275.00","2,31,78,275.00","22,500","9,000"
"05-Oct-2023","28-Dec-2023","XX","-","1,432.05","1,440.00","1,420.75","1,423.60","1,423.60","1,423.80","6,500","92,98,650.00","92,98,650.00","13,500","3,000"
"04-Oct-2023","28-Dec-2023","XX","-","1,439.55","1,439.55","1,409.15","1,422.80","1,422.80","1,422.80","16,000","2,27,33,850.00","2,27,33,850.00","10,500","8,000"
"03-Oct-2023","28-Dec-2023","XX","-","1,461.65","1,463.65","1,461.65","1,463.65","1,463.65","1,458.40","1,000","14,62,650.00","14,62,650.00","2,500","1,000"
"29-Sep-2023","28-Dec-2023","XX","-","1,438.50","1,464.60","1,438.50","1,464.60","1,464.60","1,454.45","1,500","21,81,550.00","21,81,550.00","1,500","1,500"
